iotID,DateTime,Latitude,Longitude,StepDistance,AccelerometerMag,tripID
11086_SO73610_222,2008-07-13T01:01:38,34.03876,-118.49005,0.000,0.0,7d9103cc-a6ca-47e4-b494-cceb0eb4407e
11086_SO73610_222,2008-07-13T01:01:48,34.03838,-118.48990,0.045,3.7,7d9103cc-a6ca-47e4-b494-cceb0eb4407e
11086_SO73610_222,2008-07-13T01:01:58,34.03804,-118.49029,0.052,5.5,7d9103cc-a6ca-47e4-b494-cceb0eb4407e
11086_SO73610_222,2008-07-13T01:02:08,34.03805,-118.49104,0.069,9.1,7d9103cc-a6ca-47e4-b494-cceb0eb4407e
11086_SO73610_222,2008-07-13T01:02:18,34.03783,-118.49056,0.050,8.7,7d9103cc-a6ca-47e4-b494-cceb0eb4407e
11086_SO73610_222,2008-07-13T01:02:28,34.03739,-118.49088,0.057,5.1,7d9103cc-a6ca-47e4-b494-cceb0eb4407e
11086_SO73610_222,2008-07-15T11:05:20,34.03083,-118.48694,0.000,0.0,a72a6529-8601-4522-9f38-6977a4fd6cf3
11086_SO73610_222,2008-07-15T11:05:30,34.03039,-118.48777,0.091,6.7,a72a6529-8601-4522-9f38-6977a4fd6cf3
11086_SO73610_222,2008-07-15T11:05:40,34.03060,-118.48841,0.064,8.9,a72a6529-8601-4522-9f38-6977a4fd6cf3
11086_SO73610_222,2008-07-15T11:05:50,34.03115,-118.48911,0.089,9.9,a72a6529-8601-4522-9f38-6977a4fd6cf3
11086_SO73610_222,2008-07-16T06:58:48,34.04315,-118.47627,0.000,0.0,3b7e7a2a-38e2-4ee1-a36d-69e93280ddf8
11086_SO73610_222,2008-07-20T17:59:10,34.02599,-118.48347,0.000,0.0,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T17:59:20,34.02580,-118.48280,0.065,6.8,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T17:59:30,34.02627,-118.48270,0.053,6.5,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T17:59:40,34.02677,-118.48303,0.063,4.8,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T17:59:50,34.02717,-118.48327,0.049,9.9,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T18:00:00,34.02737,-118.48259,0.067,5.7,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T18:00:10,34.02800,-118.48247,0.070,9.9,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T18:00:20,34.02762,-118.48317,0.077,6.9,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T18:00:30,34.02719,-118.48271,0.064,3.9,0793c7c9-3656-43a4-9f15-da7b913c742f
11086_SO73610_222,2008-07-20T18:00:40,34.02756,-118.48217,0.064,0.7,0793c7c9-3656-43a4-9f15-da7b913c742f
