iotkey,tripid,tripstarttime,tripendtime,tripdistance,clat,clon,tripmaxacc,tripmaxacctime
11013_SO74908_222,036aaefe-0e49-446b-9744-304c36272d44,2/24/2014 13:44,2/24/2014 13:52,0.985999994,44.54491248,-122.8816216,10,2/24/2014 13:48
11013_SO74908_222,36d707a1-97e6-4d6b-aacb-4fc291a1a847,2/21/2014 12:01,2/21/2014 12:02,0.412000002,44.54116599,-122.8963229,9.5,2/21/2014 12:01
11013_SO74908_222,21f9fd4b-cdcd-4b75-9a82-732174cb4cfc,2/20/2014 0:39,2/20/2014 0:40,0.313000001,44.54427795,-122.886628,8,2/20/2014 0:40
11013_SO74908_222,f39da8ce-92d0-4815-9f7a-07561711aa4a,2/17/2014 22:29,2/17/2014 22:30,0.370000001,44.54869423,-122.9154518,9.600000381,2/17/2014 22:29
11013_SO74908_222,7bf8c19e-9bd1-4b75-bfb5-d1203446cedc,2/15/2014 6:16,2/15/2014 6:17,0.443000007,44.54497147,-122.882474,9.600000381,2/15/2014 6:17
11013_SO74908_222,7d48280a-348a-4d0a-898f-dfe25d7c2ca1,2/12/2014 17:16,2/12/2014 17:17,0.263,44.55747938,-122.9023666,8.300000191,2/12/2014 17:17
11013_SO74908_222,4a6444ad-08f5-4d47-b30c-a14cec62bebf,2/10/2014 17:37,2/10/2014 17:38,0.175000001,44.54035492,-122.9106079,7.599999905,2/10/2014 17:38
11013_SO74908_222,8e3ad674-ee1e-4304-bfd3-ce3368177440,2/6/2014 19:19,2/6/2014 19:21,0.345000004,44.55429967,-122.9008738,6.599999905,2/6/2014 19:20
11013_SO74908_222,c9d20d6c-a70d-4d35-9c4b-86088800382a,2/3/2014 6:58,2/3/2014 7:00,0.638999999,44.52678299,-122.9025035,9.5,2/3/2014 6:58
11013_SO74908_222,82fb0f15-9ebc-4926-bec8-3d0ec7b84414,1/31/2014 5:36,1/31/2014 5:39,0.678000001,44.53164512,-122.8863935,9.399999619,1/31/2014 5:39
11013_SO74908_222,4428d378-3579-4ae0-96f4-5c1cab3f37d3,1/27/2014 6:49,1/27/2014 6:50,0.163999999,44.54633026,-122.8790161,9.899999619,1/27/2014 6:50
11013_SO74908_222,1bf6eb42-c1e1-4060-8e2b-b3d9e4dafa3e,1/26/2014 7:29,1/26/2014 7:29,0,44.53818893,-122.9069519,0,1/26/2014 7:29
11045_SO55973_222,09d43524-fe99-495c-80fc-8db2cb94bfeb,1/25/2014 22:06,1/25/2014 22:39,10.60900004,-33.96409807,151.2216025,10,1/25/2014 22:30
